2018-08-08 02:03:36 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2018-08-08 02:03:36 install libblkid1:amd64 <none> 2.27.1-6ubuntu3
2018-08-08 02:03:36 status half-installed libblkid1:amd64 2.27.1-6ubuntu3
2018-08-08 02:03:36 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2018-08-08 02:03:36 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2018-08-08 02:03:37 install libbz2-1.0:amd64 <none> 1.0.6-8
2018-08-08 02:03:37 status half-installed libbz2-1.0:amd64 1.0.6-8
2018-08-08 02:03:37 status unpacked libbz2-1.0:amd64 1.0.6-8
2018-08-08 02:03:37 status unpacked libbz2-1.0:amd64 1.0.6-8
2018-08-08 02:03:37 install libc-bin:amd64 <none> 2.23-0ubuntu3
2018-08-08 02:03:37 status half-installed libc-bin:amd64 2.23-0ubuntu3
2018-08-08 02:03:37 status unpacked libc-bin:amd64 2.23-0ubuntu3
2018-08-08 02:03:37 status unpacked libc-bin:amd64 2.23-0ubuntu3
2018-08-08 02:03:37 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2018-08-08 02:03:37 status half-configured libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:37 status unpacked libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:37 status half-installed libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:38 status half-installed libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:38 status unpacked libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:38 status unpacked libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:38 install libcap2:amd64 <none> 1:2.24-12
2018-08-08 02:03:38 status half-installed libcap2:amd64 1:2.24-12
2018-08-08 02:03:38 status unpacked libcap2:amd64 1:2.24-12
2018-08-08 02:03:38 status unpacked libcap2:amd64 1:2.24-12
2018-08-08 02:03:38 install libcap2-bin:amd64 <none> 1:2.24-12
2018-08-08 02:03:38 status half-installed libcap2-bin:amd64 1:2.24-12
2018-08-08 02:03:38 status unpacked libcap2-bin:amd64 1:2.24-12
2018-08-08 02:03:38 status unpacked libcap2-bin:amd64 1:2.24-12
2018-08-08 02:03:38 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
2018-08-08 02:03:38 status half-installed libcomerr2:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:38 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:38 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2018-08-08 02:03:38 install libcryptsetup4:amd64 <none> 2:1.6.6-5ubuntu2
2018-08-08 02:03:38 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2018-08-08 02:03:38 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2018-08-08 02:03:38 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2018-08-08 02:03:38 install libdb5.3:amd64 <none> 5.3.28-11
2018-08-08 02:03:38 status half-installed libdb5.3:amd64 5.3.28-11
2018-08-08 02:03:38 status unpacked libdb5.3:amd64 5.3.28-11
2018-08-08 02:03:38 status unpacked libdb5.3:amd64 5.3.28-11
2018-08-08 02:03:38 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2018-08-08 02:03:38 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2018-08-08 02:03:38 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2018-08-08 02:03:38 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2018-08-08 02:03:38 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2018-08-08 02:03:38 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2018-08-08 02:03:38 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2018-08-08 02:03:38 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2018-08-08 02:03:38 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2018-08-08 02:03:38 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2018-08-08 02:03:38 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2018-08-08 02:03:38 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
